# type (r;w;u;1-9),class,name,comment,QQ,ZZ,PBSB,ID,field1,part (m;s),type / templates,divider / values,unit,comment [1],field2,part (m;s) [1],type / templates [1],divider / values [1],unit [1],comment [2],field3,part (m;s) [2],type / templates [2],divider / values [2],unit [2],comment [3],field4,part (m;s) [3],type / templates [3],divider / values [3],unit [3],comment [4],field5,part (m;s) [4],type / templates [4],divider / values [4],unit [4],comment [5],field6,part (m;s) [5],type / templates [5],divider / values [5],unit [5],comment [6],field7,part (m;s) [6],type / templates [6],divider / values [6],unit [6],comment [7]
r;u,sm1,temp_76_77,,,76,5022,c73813,temp_76_77,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,temp_76_79,,,76,5022,d28d0a,temp_76_79,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,temp_76_83,,,76,5022,d64a4e,temp_76_83,,HEX:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,temp_76_84,,,76,5022,d7c103,temp_76_84,,HEX:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,temp_76_85,,,76,5022,e32e13,temp_76_85,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,temp_76_87,,,76,5022,eb3c13,temp_76_87,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,temp_76_90,,,76,5022,f5cc09,temp_76_90,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,temp_76_91,,,76,5022,ffcc03,temp_76_91,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,temp_76_92,,,76,5022,6a8f0a,temp_76_92,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,tk1_24h_max,,,76,5022,a57809,temp_kollektor_24h_max,,SIN,10,°C,temperatur_kollektor_1_24h_max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,tk1_24h_min,,,76,5022,357709,temp_kollektor_24h_min,,SIN,10,°C,temperatur_kollektor_1_24h_min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,twssp1_24h_max,,,76,5022,897c09,ww_temp_speicher_24h_max,,SIN,10,°C,warmwassertemperatur_solarspeicher_1_24h_max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,twssp1_24h_min,,,76,5022,417b09,ww_temp_speicher_24h_min,,SIN,10,°C,warmwassertemperatur_solarspeicher_1_24h_min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,twssp2_24h_max,,,76,5022,317e09,ww_temp_speicher_2_24h_max,,SIN,10,°C,warmwassertemperatur_solarspeicher_2_24h_max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,twssp2_24h_min,,,76,5022,d57d09,ww_temp_speicher_2_24h_min,,SIN,10,°C,warmwassertemperatur_solarspeicher_2_24h_min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
